Twitter Handle,Incumbent?,Age,Followers Count,Climate Bool,Total Tweet Count
gilcisnerosca,Yes,49.0,16558.0,True,650
marktakano,Yes,59.0,2775.0,True,37
katieporteroc,Yes,46.0,373692.0,True,518
alanlowenthal,Yes,79.0,989.0,True,293
harleyrouda,Yes,58.0,78114.0,True,587
mikelevin,Yes,42.0,112449.0,True,1846
acampanajjar,No,32.0,46509.0,True,1871
scottpetersca52,Yes,62.0,2187.0,True,221
sdgeorgette,No,43.0,6905.0,True,912
sarajacobsca,No,31.0,11708.0,True,1035
degette5280,Yes,63.0,2314.0,True,339
joeneguse,Yes,36.0,28625.0,True,568
freelandco5,No,,11628.0,True,2549
jasoncrowco6,Yes,41.0,35007.0,True,453
ed4colorado,Yes,67.0,3806.0,True,154
joecourtneyct,Yes,67.0,1465.0,False,16
rosa_delauro,Yes,77.0,5230.0,True,103
jahimes,Yes,54.0,110790.0,True,1023
jahanahayesct,Yes,47.0,41940.0,True,386
lisabrochester,Yes,58.0,6052.0,True,179
philehr,No,60.0,223087.0,True,1628
ac4congress2020,No,29.0,34689.0,True,4211
donnadeegan,No,58.0,13937.0,True,1271
smurphycongress,Yes,42.0,6928.0,True,426
jk4florida,No,39.0,17026.0,True,1346
darrensoto,Yes,42.0,5911.0,True,590
val_demings,Yes,63.0,13394.0,True,92
kw4congress,No,51.0,717.0,True,318
charliecrist,Yes,64.0,33107.0,True,218
kathycastorfl,Yes,54.0,2496.0,True,925
alanmcohn,No,57.0,11785.0,True,461
goodforflorida,No,30.0,13886.0,True,518
allenlellison,No,39.0,13699.0,True,4007
pamkeithfl,No,50.0,110660.0,True,4166
swflmom2020,No,42.0,16281.0,True,4084
loisfrankel,Yes,72.0,2957.0,True,367
dwstweets,Yes,54.0,357829.0,True,595
debbieforfl,Yes,49.0,21737.0,True,1293
donnashalala,Yes,79.0,22959.0,True,225
congressjoyce,No,69.0,,False,18
valforcongress3,No,69.0,357.0,True,289
lucymcbath,Yes,60.0,119033.0,False,391
carolyn4ga7,No,50.0,74350.0,True,818
devinpandy,No,46.0,14287.0,True,3443
tjg4ga,No,48.0,546.0,False,26
thedanabarrett,No,54.0,7489.0,True,473
electdavidscott,Yes,75.0,1432.0,True,214
kevinvanausdal,No,25.0,6403.0,False,557
abby4iowa,Yes,31.0,28422.0,False,888
axne4congress,Yes,55.0,14656.0,True,375
rudy4congress,No,32.0,,True,827
robinlynnekelly,Yes,64.0,6574.0,True,916
marie4congress,No,56.0,42638.0,True,1277
quigleycampaign,Yes,62.0,1271.0,False,2
votecasten,Yes,48.0,3895.0,True,216
dannykdavis7th,Yes,79.0,190.0,False,68
rajaforcongress,Yes,47.0,2991.0,True,382
schneider4il10,Yes,59.0,18881.0,True,150
foster4congress,Yes,65.0,2229.0,True,207
laurenunderwood,Yes,34.0,128719.0,True,402
daniforcongress,No,,2773.0,True,759
cheribustos,Yes,59.0,13129.0,True,1252
chip4congress,No,,1098.0,True,605
joe4hoosiers,No,,689.0,True,1552
haleindy,No,,9086.0,True,390
jeannineleelake,No,51.0,4147.0,True,419
andre4congress,Yes,46.0,2891.0,False,86
andyruffin9,No,,489.0,True,171
kaliforkansas,No,35.0,1140.0,True,298
michelle4kansas,No,44.0,4148.0,True,516
sharicedavids,Yes,40.0,135257.0,True,414
lauraforkansas,No,36.0,1210.0,True,301
rhodes4congress,No,,,False,153
hank4ky,No,,532.0,True,229
amowensby,No,42.0,12178.0,True,2310
bestforky,No,,610.0,True,3141
joshhicksky,No,44.0,7134.0,False,850
jakeauch,No,32.0,3254.0,True,900
sethmoulton,Yes,42.0,148620.0,True,676
williamkeating,Yes,68.0,3942.0,False,63
mia4md,No,24.0,33103.0,True,5473
johnsarbanes,Yes,58.0,4144.0,True,153
anthonybrownmd4,Yes,58.0,8156.0,True,159
mfume4congress,Yes,72.0,3392.0,False,241
jamie_raskin,Yes,57.0,16363.0,True,170
pubtheologian,No,44.0,4799.0,True,1394
hillaryscholten,No,30.0,11821.0,True,948
hilliardforcong,No,,495.0,False,31
jonhoadley,No,37.0,10827.0,True,2528
elissaslotkin,Yes,44.0,48360.0,True,439
andy_levin,Yes,60.0,7598.0,True,649
electbizon2020,No,51.0,2952.0,True,664
haleylive,Yes,37.0,27732.0,True,2025
debdingell,Yes,66.0,17175.0,True,261
rashidatlaib,Yes,44.0,1247007.0,True,3530
angiecraigmn,Yes,48.0,20102.0,True,841
coribush,No,44.0,392928.0,True,2921
jillschupp,No,,10547.0,True,720
lynzforcongress,No,32.0,31625.0,True,3526
montsenyt,No,52.0,762.0,True,1276
ellis4congress,No,64.0,4662.0,True,1115
antonia4ms1,No,39.0,1499.0,True,413
williamsformt,No,59.0,7685.0,True,555
dwb4congress,No,46.0,2141.0,True,275
kathymanningnc,No,64.0,7076.0,True,916
timmonsgoodson,No,66.0,7104.0,True,896
parker4nc10,No,66.0,59.0,True,42
almaforcongress,Yes,74.0,4600.0,True,710
huffmanfornc,No,,46792.0,True,3946
katejbolz,No,41.0,6486.0,True,1440
karaforcongress,No,48.0,24375.0,True,4136
markelworthjr,No,44.0,330.0,False,1
chrispappasnh,Yes,40.0,13748.0,True,415
amykennedy715,No,,13147.0,True,1002
stephlschmid,No,40.0,2623.0,True,933
joshgottheimer,Yes,45.0,6524.0,True,974
malinowski,Yes,55.0,39510.0,True,1022
albiosiresnj,Yes,69.0,537.0,True,46
mikiesherrill,Yes,48.0,42419.0,True,420
bonnie4congress,Yes,75.0,3633.0,True,39
xochforcongress,Yes,35.0,13159.0,True,99
teresafornm,No,60.0,4536.0,True,609
dinatitus,Yes,70.0,11099.0,True,688
packermannv,No,38.0,1233.0,True,763
susieleenv,Yes,53.0,7774.0,True,776
kathleenrice,Yes,55.0,6432.0,True,120
gregmeeksnyc,Yes,67.0,1153.0,False,61
grace4ny,Yes,45.0,22936.0,True,2816
voteyvette,Yes,55.0,1729.0,True,422
carolynbmaloney,Yes,74.0,32590.0,True,2475
aoc,Yes,31.0,10599110.0,True,2234
ritchietorres,No,,59702.0,True,1368
dana_balter,No,43.0,12475.0,True,1335
higgins4wny,Yes,61.0,1042.0,False,67
kateforcongress,No,43.0,7146.0,True,990
joycebeatty,Yes,70.0,6244.0,True,1769
shannonfreshour,No,,208716.0,True,3854
nickrubando,No,32.0,2507.0,True,710
robertsohiod6,No,,2998.0,True,3210
quentinforoh7,No,,,True,137
drvenoch,No,50.0,3866.0,True,593
marcy_kaptur,Yes,74.0,2672.0,True,43
timsdesiree,No,32.0,31729.0,True,1321
mlfudge,Yes,68.0,7928.0,False,109
votealaina2020,No,41.0,19043.0,True,2622
timryan,Yes,47.0,47882.0,True,1654
hillarymueri,No,43.0,25607.0,True,2282
newbyoh15,No,30.0,2724.0,True,3261
danyell_lanier,No,,3113.0,False,1392
electbrannon,No,68.0,978.0,False,1006
spenser2020,No,,292.0,True,154
repblumenauer,Yes,72.0,71520.0,True,515
defazio4oregon,Yes,73.0,3313.0,True,536
voteschrader,Yes,69.0,502.0,True,52
dwightevanspa,Yes,66.0,3917.0,True,1602
madeleinedean,Yes,61.0,14622.0,True,597
marygayscanlon,Yes,61.0,9367.0,True,665
joecunninghamsc,Yes,38.0,43671.0,True,799
adair4congress,No,40.0,,True,921
clevelandhosea,No,59.0,1535.0,True,569
kimforsc,No,36.0,7799.0,True,1065
moebrownsc,No,32.0,5687.0,True,1153
blairwalsingham,No,32.0,5540.0,True,2038
rvhoyos,No,55.0,10104.0,True,1268
meg4congress,No,,13871.0,True,2129
coopforcongress,Yes,66.0,1933.0,True,854
kiran4congress,No,39.0,1194.0,False,255
pearsoncongress,No,,229.0,False,86
reelectcohen,Yes,71.0,1098.0,False,2
hank4texas,No,61.0,23511.0,False,514
simafortx,No,,65689.0,True,1496
lulufortexas,No,34.0,26261.0,True,1259
russellfostertx,No,45.0,13471.0,True,3872
salterfortexas,No,61.0,2360.0,True,1100
stephendaniel,No,43.0,3375.0,True,1584
lizfortx8,No,37.0,33719.0,True,4082
repalgreentx,Yes,73.0,1049.0,False,14
siegelfortexas,No,42.0,36429.0,True,1816
jonmarkhogg,No,54.0,1610.0,True,2039
welch_tx,No,53.0,20780.0,True,1467
gusfortx,No,,1271.0,True,234
adrbell,No,,17736.0,True,2106
vgescobar,Yes,51.0,34172.0,True,923
sjl4hrc,Yes,70.0,1074.0,False,6
tomwatsontx19,No,78.0,1131.0,True,769
castro4congress,Yes,46.0,55485.0,True,3408
sripkulkarni,No,42.0,15783.0,True,1112
ginaortizjones,No,29.0,42108.0,True,949
candacefor24,No,36.0,25385.0,True,2082
julieolivertx,No,,40421.0,True,3542
cuellarcampaign,Yes,65.0,968.0,False,225
lacongresista,Yes,70.0,19300.0,True,415
donnaimamtx,No,,24180.0,True,1246
colinallredtx,Yes,37.0,25908.0,True,891
marcveasey,Yes,49.0,6507.0,True,432
lloyddoggetttx,Yes,74.0,3212.0,True,677
rlewis4congress,No,34.0,390.0,False,350
kaelweston,No,,3644.0,True,1780
benmcadams,Yes,45.0,19031.0,True,172
qasimrashid,No,36.0,300623.0,True,4382
voteforbetts,No,31.0,,True,128
welchforvt,Yes,73.0,2054.0,True,142
suzandelbene,Yes,58.0,4202.0,True,280
larsenrick,Yes,55.0,3285.0,True,511
electlong,No,53.0,8732.0,True,914
elect_davew,No,65.0,233.0,True,91
derekkilmer,Yes,46.0,1946.0,True,384
pramilajayapal,Yes,55.0,142361.0,True,1585
drkimschrier,Yes,52.0,10465.0,True,192
bethdoglio,No,55.0,4600.0,True,569
stricklandforwa,No,58.0,3523.0,True,535
rogerforwi,No,38.0,1685.0,True,261
markpocan,Yes,56.0,21103.0,True,1917
tomforwi,No,60.0,6588.0,True,1969
triciaforwi,No,40.0,9635.0,True,965
amandastuck8,No,37.0,1406.0,True,279
natalieclinewv,No,39.0,,True,774
kunkel4congress,No,36.0,3022.0,True,1345
hilaryturnerwv,No,33.0,3336.0,True,534
greybull4wy,No,43.0,1247.0,True,297
judyamabilehd13,No,,266.0,True,120
tonyexum,Yes,,1402.0,False,48
megforcolorado,No,,156.0,True,96
kennedy4co,Yes,,1923.0,True,75
lindseyforco,No,34.0,266.0,True,132
kyra4colorado,No,54.0,266.0,True,909
realhollyherson,No,35.0,265.0,True,139
yzokaie,No,,1162.0,True,766
repjeniarndt,Yes,56.0,2594.0,True,202
slavenemondhd54,No,,2.0,False,11
giugicarminati,No,,516.0,False,330
barbaraforco,Yes,53.0,1171.0,False,103
donaldvaldezco,Yes,39.0,580.0,False,32
angiehoover20,No,,768.0,True,4217
johnforflorida,No,,614.0,True,930
abaysflh6,No,,209.0,True,78
khan4florida,No,,58.0,True,25
allisontantfl,No,,4000.0,True,994
rockforflorida,No,,88.0,True,54
rosshancockfl,No,66.0,235.0,True,75
duranforflorida,Yes,,2378.0,True,206
votejoshuahicks,No,,1385.0,True,703
esblimie,No,,118.0,False,1376
angienixon,No,,3973.0,True,1118
tammyettet,No,,309.0,False,323
benmarcus,No,,1493.0,False,3115
daverpvb,No,,668.0,True,4070
votedukes_fl32,No,56.0,203.0,True,192
gosaidushyant,No,,47.0,False,7
laufenberg2020,No,75.0,39.0,False,16
electgeraldine,Yes,71.0,649.0,True,230
annaforflorida,Yes,27.0,34867.0,True,4126
joanforflorida,No,,607.0,True,670
algriffiths9,No,67.0,94.0,True,238
mrh_civics,No,50.0,894.0,False,460
clforfl58,No,,191.0,True,102
davidforfl,No,,276.0,True,357
davidjones4fl75,No,,328.0,True,3330
williams_for_78,No,,409.0,True,1334
ej4_fl,No,,858.0,True,685
dewmac52,Yes,66.0,1004.0,False,125
samforgeorgia,Yes,35.0,7248.0,True,525
mokahforgeorgia,No,38.0,3226.0,True,1972
quentinthowell,No,42.0,419.0,False,9
kittrellvote,No,,20.0,False,9
evansprimus,No,,69.0,False,81
hughes4ga,No,43.0,98.0,False,170
pete_fuller_ga,No,,688.0,True,2993
priscilla4ga,No,64.0,365.0,False,200
ryner_james,No,,4.0,True,48
erickallen,Yes,,1542.0,False,1364
connie4georgia,No,44.0,603.0,True,690
tindallsara,No,,2413.0,True,2176
carolinefor46,No,45.0,333.0,True,563
anthia_ga_hd47,No,,,False,274
jasonforga,No,43.0,245.0,True,281
voteboddie62,Yes,43.0,461.0,False,71
vote4_jackson,Yes,54.0,364.0,False,463
thomasfor65,No,,116.0,False,50
wilenskyforga,Yes,41.0,1472.0,True,852
rhondataylorga,No,,2443.0,False,78
mbcampbell4ga,No,,575.0,True,1014
bjorn4four,No,35.0,48.0,False,93
pellant4house,No,48.0,,True,1825
wesbreckenridge,Yes,52.0,794.0,False,395
dennisevans4ia,No,,118.0,False,127
repjacoby,Yes,64.0,318.0,False,167
kimmer3737,No,32.0,3985.0,True,947
kurth_monica,Yes,70.0,770.0,False,29
tateformichigan,Yes,39.0,806.0,True,73
richsteenland,No,50.0,31.0,False,5
mike_chehab,No,,131.0,False,85
cneeley34,Yes,,95.0,False,46
votekellybreen,No,43.0,2885.0,True,1247
electkennedy20,Yes,31.0,188.0,False,101
feliciabrabec,No,,441.0,True,411
eastelect,No,,186.0,True,632
andreakellygar2,No,,51.0,True,103
electanitabrown,No,,211.0,False,122
repsabo92,Yes,,723.0,False,30
briankelder,Yes,44.0,929.0,False,782
thencrep,Yes,72.0,1814.0,False,545
samedney4wnc,No,70.0,,True,2734
susanfisher114,Yes,65.0,2185.0,True,131
rayesmithjr,Yes,59.0,169.0,False,10
jdgailliard,Yes,,2111.0,False,538
repwray,Yes,,1572.0,False,3
zackhawkinsnc,Yes,41.0,2299.0,True,1139
rep_rosa_gill,Yes,74.0,2411.0,True,134
juliefornc,Yes,,2742.0,True,1290
jacksonfornc,Yes,49.0,5186.0,False,275
goncrichardson,Yes,65.0,1166.0,True,2960
cynthiafornc,Yes,66.0,1722.0,True,615
electreives,Yes,50.0,1445.0,False,391
verlainsko,Yes,84.0,3608.0,True,170
brandongraync,No,,6585.0,True,1581
amber_m_baker,No,,197.0,False,154
gayleharrisnc,No,,12.0,True,74
terrybrownclt,No,24.0,858.0,True,2401
bostfornc,No,,526.0,False,58
joanieforohio,No,53.0,419.0,False,83
nancy4ohio,No,38.0,2329.0,False,1143
ericaccrawley,Yes,39.0,2956.0,True,917
jessicaemiranda,Yes,34.0,2410.0,False,914
cingram32,Yes,70.0,995.0,False,237
forsobecki,Yes,49.0,788.0,False,108
michelleenovak,No,40.0,619.0,True,988
joemiller4ohio,Yes,,903.0,True,342
electtroy,No,,116.0,False,40
joefor84,No,,58.0,False,1
ryanbizzarro,Yes,34.0,3721.0,True,1472
pattyhkim,Yes,47.0,3452.0,False,14
pattysmithforpa,No,,172.0,False,91
rodasforpa,No,26.0,3080.0,True,977
samdoctor4pa,No,,56.0,False,33
edp4rep,Yes,,24.0,False,3
piconeforpa,No,34.0,198.0,False,78
manny_guzman610,No,31.0,541.0,True,475
danielforpa,No,45.0,3062.0,True,1047
taramzrinski,No,45.0,466.0,True,227
mariankeegan,No,65.0,38.0,True,88
ruggieripa13,No,,136.0,False,133
ciresiforpa,Yes,50.0,507.0,False,17
votewilson2020,No,28.0,76.0,False,62
napoleonfor154,No,35.0,137.0,True,223
melissaforpa,Yes,53.0,1336.0,True,165
friendsofantona,No,50.0,508.0,True,403
leanne4pa,Yes,,2891.0,True,148
repmargodavidso,Yes,54.0,1269.0,True,216
debciamacca,No,,662.0,True,148
robmatzie,Yes,52.0,2867.0,True,89
buckforpa,No,,409.0,True,1958
maryisaacson,Yes,52.0,230.0,False,32
jasontdawkins,Yes,,574.0,False,28
briansimspa,Yes,42.0,106774.0,True,3431
jordanharrispa,Yes,,91.0,False,19
voteblichar,No,25.0,202.0,False,778
rick4westphilly,No,,4032.0,True,655
adamforpa,No,56.0,182.0,False,30
morgan_cephas,Yes,36.0,563.0,False,4
burgosfor197,Yes,45.0,921.0,True,598
jakewheatleypa,Yes,45.0,8.0,False,36
rabb4thepeople,Yes,,1054.0,True,365
emily4pa20,No,,1113.0,True,955
paulfrielforpa,No,,147.0,False,29
lissaforpa,No,,1096.0,True,682
jessicalbenham,No,,4969.0,True,2504
padora4pa,No,,227.0,True,98
nickforpa,No,,266.0,False,635
votedanmiller,Yes,46.0,614.0,False,116
byronstatereppa,No,45.0,151.0,False,57
steve_malagari,Yes,36.0,579.0,False,10
prahfor58,No,,,False,291
lizforpa,Yes,,929.0,False,6
dan4pa74,Yes,50.0,69.0,False,131
electjoewaltz,No,,113.0,False,129
conklinforpa,Yes,62.0,128.0,True,65
ianforpa,No,,137.0,False,166
waldman4the84th,No,35.0,60.0,False,80
votenicmiller,No,,720.0,True,216
danaforpa,No,48.0,224.0,True,656
troutmanforpa,No,,36.0,False,2
hodgeforhouse,No,,95.0,False,155
prince4txrep,No,,46.0,False,33
jasminefor100,No,39.0,2690.0,True,576
rafaelanchia,Yes,52.0,13783.0,True,3529
carl_sherman_tx,Yes,54.0,935.0,False,653
brandyfortexas,No,47.0,4011.0,True,1290
votelizcampos,No,,101.0,False,146
bryanjameshenry,No,,285.0,True,537
repallentx131,Yes,,1034.0,True,170
jon_rosenthaltx,Yes,57.0,2507.0,True,842
bucyfortexas,Yes,,4412.0,False,511
jarvisjohnsontx,Yes,46.0,669.0,False,23
repwalle,Yes,42.0,12374.0,True,3355
repthierry146,Yes,,2707.0,True,935
gfcoleman,Yes,59.0,8720.0,False,183
michael_r_walsh,No,,54.0,False,13
repjoedeshotel,Yes,68.0,5272.0,False,16
brianjrogers,No,37.0,5578.0,True,291
ryanguillen,Yes,43.0,6364.0,False,52
andoconmando39,Yes,44.0,3117.0,False,116
rdbobbyguerra,Yes,,2711.0,False,236
kekefortexas,No,,2921.0,True,655
texansforsam,No,,466.0,True,71
moralesfortexas,No,45.0,93.0,False,210
repmarygonzalez,Yes,35.0,12084.0,True,1074
moodyforelpaso,Yes,39.0,8394.0,True,987
repramonromero,Yes,49.0,4027.0,False,158
khforassembly,No,,,False,86
myers4assembly,Yes,36.0,133.0,False,182
jroccocal,No,44.0,476.0,True,846
katherinegaulke,No,39.0,511.0,True,177
tylerruprechtwi,No,,261.0,True,361
tip4wi,Yes,,543.0,False,9
electjacobwi,No,22.0,1938.0,True,1277
kristinforwi,No,49.0,839.0,True,363
rosannagabaldon,No,64.0,1267.0,True,745
mendoza4az,No,29.0,2347.0,True,2816
senquezada29,Yes,44.0,14922.0,True,1541
sonyajlewis,No,,806.0,False,142
stevefenberg,Yes,36.0,3426.0,True,327
coleman4co,No,,231.0,True,118
butler4flsen,No,50.0,,True,1804
randolphbracy,Yes,43.0,1275.0,False,68
victorres_fl,Yes,,1100.0,False,11
darrylrouson,Yes,66.0,4712.0,False,34
tonyforflorida,No,,200.0,False,117
corinnarobinson,No,,220.0,True,177
shevrinjones,No,,17452.0,True,3338
electjavier,No,45.0,3220.0,True,769
senatorjen,Yes,,13373.0,True,4069
christineforga,No,53.0,3839.0,True,666
valenciaseay,Yes,67.0,1840.0,False,460
votevarley,No,,3170.0,True,1347
norrisforiowa,No,34.0,106.0,False,28
sarahforiowa,No,39.0,1534.0,True,2188
cynthiapash,No,,1383.0,True,1437
ikejohnsonnc,No,,294.0,False,3
harper4nc,Yes,,2229.0,True,267
jay_chaudhuri,Yes,51.0,4500.0,True,623
kdeviere,Yes,51.0,3878.0,True,741
nataliefornc,Yes,,1737.0,True,1621
fousheefornc,Yes,64.0,421.0,True,495
janeledwellgant,No,,,False,75
gladysarobinson,Yes,,391.0,False,28
legrandwsnc,No,,1585.0,True,1043
mmohammednc,Yes,,2727.0,False,819
davidbwheeler,No,55.0,1125.0,True,2072
streetforpa,Yes,46.0,852.0,True,284
gscott4pa,No,,2199.0,True,709
amandaforpa,No,32.0,1063.0,True,737
margie4pasenate,No,,383.0,False,215
senatepa,No,39.0,296.0,True,397
sternerforpa,No,65.0,22.0,False,1
_shaundougherty,No,,5664.0,False,841
pamforpa,Yes,,4700.0,False,166
2020tay,No,66.0,133.0,False,125
tony_deloreto,No,,88.0,False,95
jaycostapa,Yes,62.0,94.0,True,130
brewster4senate,Yes,,125.0,False,292
julieslomski,No,43.0,804.0,True,599
txchuy,Yes,,7477.0,False,103
menendez4texas,Yes,51.0,10633.0,True,2338
cesarjblanco,No,,7825.0,True,1842
vocke4wi,No,,,True,1088
melissa4senate,No,51.0,252.0,True,141
wojoforwi,No,,413.0,True,375
keldahelenroys,No,,8799.0,True,1600
alysegalvin,No,53.0,5367.0,True,496
brynnespeak,No,36.0,6777.0,True,1187
bubser4congress,No,,1525.0,True,527
eshoo4congress,Yes,77.0,664.0,True,35
adamschiff,Yes,60.0,507013.0,True,306
angelica4ca,No,,15912.0,True,1543
tedlieu,Yes,51.0,1499739.0,True,3555
norma4congress,Yes,55.0,1894.0,True,256
lindatsanchez,Yes,51.0,931.0,True,253
liamomaraiv,No,46.0,8590.0,True,3798
nanette4ca,Yes,44.0,3673.0,True,111
repdmb,No,63.0,8839.0,True,380
ike4co,No,,2849.0,True,1118
johnlarsonct,Yes,72.0,3014.0,True,344
kristythripp,No,,68.0,False,4
allawsonjr,Yes,72.0,1439.0,False,120
alangrayson,No,,68529.0,True,1329
clint4congress,No,62.0,289.0,False,164
sufiyahyasmine,No,,6.0,False,1
danaforcongress,No,50.0,,True,216
alcee4congress,Yes,84.0,558.0,True,148
teddeutch,Yes,,11902.0,True,715
fswinthehouse,Yes,77.0,100.0,False,68
reelecthank,Yes,,1686.0,False,616
lizforga12th,No,,,False,115
edcasehawaii,Yes,,2099.0,False,12
kaikahele,No,,90306.0,True,527
ritahartia,No,64.0,4508.0,True,323
jdscholten,No,40.0,130868.0,True,3573
bobbyrushfor1st,Yes,73.0,464.0,True,274
chuyforcongress,Yes,,18394.0,True,1246
janschakowsky,Yes,76.0,49042.0,True,2236
lenzi4congress,No,,411.0,True,143
betsyforil,No,,8521.0,True,469
weaver4illinois,No,34.0,364.0,True,255
mrvan4congress,No,50.0,564.0,False,148
hackettcongress,No,,2666.0,True,924
hope_in8,No,28.0,654.0,True,2565
nealforcongress,Yes,71.0,891.0,True,138
mcgovernma,Yes,60.0,6737.0,True,448
katherineclark,Yes,57.0,11595.0,True,143
ayannapressley,Yes,46.0,858599.0,True,2902
replynch,Yes,65.0,4705.0,False,14
godutchformd,Yes,74.0,242.0,False,13
stenyhoyer,Yes,81.0,6974.0,True,212
davidjtrone,Yes,65.0,8813.0,True,270
golden4congress,Yes,38.0,7639.0,True,169
fergusonformi1,No,38.0,1946.0,True,658
dankildee,Yes,,5436.0,True,125
gdriskell,No,62.0,5567.0,True,729
danielfeehan,No,,11117.0,True,1081
deanbphillips,Yes,,14744.0,True,268
votebetty,Yes,,1225.0,True,855
ilhanmn,Yes,,2649100.0,True,3589
tawnja4congress,No,,607.0,False,40
quinnnystrom,No,,4094.0,True,629
vote4cleaver,Yes,76.0,1096.0,True,205
drgenalross,No,37.0,428.0,True,550
deborahrossnc,No,57.0,8245.0,True,770
wardcongress,No,,178.0,True,521
wallacecongress,No,49.0,2809.0,True,621
moenc11,No,,2163.0,True,2482
zachfornd,No,,668.0,False,438
annmclanekuster,Yes,,5885.0,True,564
donnorcross4nj,Yes,61.0,2704.0,True,257
andykimnj,Yes,,20657.0,True,779
pallonefornj,Yes,69.0,3670.0,True,241
pascrellfornj,Yes,83.0,11191.0,True,756
deb4congressnm,Yes,60.0,102395.0,True,2254
stevenhorsford,Yes,47.0,11199.0,True,571
ngoroff,No,,7777.0,True,668
votejackie4ny,No,,8911.0,True,699
tom_suozzi,Yes,,5421.0,True,97
reelectnydia,Yes,,4725.0,True,1505
hakeem_jeffries,Yes,,18330.0,True,286
jerrynadler,Yes,,22172.0,True,88
maxrose4ny,Yes,,33354.0,True,1043
jamaalbowmanny,No,,238962.0,True,3523
mondairejones,No,,83100.0,True,1930
spmaloney,Yes,,6464.0,True,130
delgadoforny19,Yes,,28912.0,True,1395
paultonko,Yes,,2782.0,True,1845
tedracobb,No,,264723.0,True,1331
abrindisiny,Yes,,13360.0,True,435
mitranoforny23,No,,11948.0,True,713
votemorelle,Yes,,1662.0,True,115
nate_mcmurray,No,,19040.0,True,5179
jaimecastleoh,No,43.0,2561.0,False,499
godfreyforoh16,No,34.0,2509.0,True,2696
kojoforcongress,No,34.0,,True,625
zoecongress2020,No,,20197.0,False,1009
hornforcongress,Yes,44.0,10925.0,True,325
finelloforpa,No,,26367.0,True,1213
repbrendanboyle,Yes,43.0,40403.0,True,1283
houlahanforpa,Yes,,20614.0,True,162
wildforcongress,Yes,,6751.0,True,593
cartwrightpa,Yes,,2174.0,True,217
drgarywegman,No,,4609.0,True,317
depasqualepa,No,49.0,12822.0,True,2115
sarahforus,No,27.0,1199.0,True,317
toddrowleypa13,No,,7748.0,True,1335
billforpa14,No,44.0,1983.0,True,1553
williamsfor15,No,54.0,,True,1305
kristy4congress,No,35.0,31280.0,True,1521
conorlambpa,Yes,36.0,98615.0,True,299
rep_doyle,Yes,,174.0,True,99
langevinforri,Yes,,1170.0,True,296
clyburnsc06,Yes,,14640.0,True,69
melissawatsonf1,No,43.0,2456.0,True,715
chrisjollyhale,No,,40684.0,True,4183
lizzie4congress,Yes,,16176.0,False,416
rickkennedytx17,No,58.0,5073.0,True,679
wendydavis,No,57.0,212149.0,True,1351
caroltx26,No,,,True,730
ricky4congress,No,30.0,3088.0,False,425
filemonvela,Yes,57.0,1217.0,False,49
devindthorpe,No,55.0,41396.0,True,4157
elaineluriava,Yes,45.0,37184.0,True,1335
bobbyscott4va3,Yes,,3272.0,True,116
donald_mceachin,Yes,59.0,7494.0,True,568
drcameronwebb,No,37.0,24981.0,True,749
spanbergerva07,Yes,41.0,55493.0,True,1495
donbeyerva,Yes,70.0,6454.0,True,418
jenniferwexton,Yes,52.0,26264.0,True,669
electconnolly,Yes,,3105.0,True,301
vote4mckinley,No,,347.0,False,63
electadamsmith,Yes,55.0,928.0,True,71
kindforcongress,Yes,,4401.0,True,177
gwen4congress,Yes,69.0,3615.0,True,1591
jessicaking6th,No,44.0,1237.0,True,526
