Twitter Handle,Incumbent?,Age,Followers Count
marktakano,Yes,59.0,2775.0
katieporteroc,Yes,46.0,373692.0
alanlowenthal,Yes,79.0,989.0
harleyrouda,Yes,58.0,78114.0
mikelevin,Yes,42.0,112449.0
acampanajjar,No,32.0,46509.0
scottpetersca52,Yes,62.0,2187.0
sdgeorgette,No,43.0,6905.0
sarajacobsca,No,31.0,11708.0
degette5280,Yes,63.0,2314.0
joeneguse,Yes,36.0,28625.0
freelandco5,No,,11628.0
jasoncrowco6,Yes,41.0,35007.0
ed4colorado,Yes,67.0,3806.0
joecourtneyct,Yes,67.0,1465.0
rosa_delauro,Yes,77.0,5230.0
jahimes,Yes,54.0,110790.0
jahanahayesct,Yes,47.0,41940.0
lisabrochester,Yes,58.0,6052.0
philehr,No,60.0,223087.0
ac4congress2020,No,29.0,34689.0
donnadeegan,No,58.0,13937.0
smurphycongress,Yes,42.0,6928.0
jk4florida,No,39.0,17026.0
darrensoto,Yes,42.0,5911.0
val_demings,Yes,63.0,13394.0
kw4congress,No,51.0,717.0
charliecrist,Yes,64.0,33107.0
kathycastorfl,Yes,54.0,2496.0
alanmcohn,No,57.0,11785.0
goodforflorida,No,30.0,13886.0
allenlellison,No,39.0,13699.0
pamkeithfl,No,50.0,110660.0
swflmom2020,No,42.0,16281.0
loisfrankel,Yes,72.0,2957.0
dwstweets,Yes,54.0,357829.0
debbieforfl,Yes,49.0,21737.0
donnashalala,Yes,79.0,22959.0
congressjoyce,No,69.0,
valforcongress3,No,69.0,357.0
lucymcbath,Yes,60.0,119033.0
carolyn4ga7,No,50.0,74350.0
devinpandy,No,46.0,14287.0
tjg4ga,No,48.0,546.0
thedanabarrett,No,54.0,7489.0
electdavidscott,Yes,75.0,1432.0
kevinvanausdal,No,25.0,6403.0
abby4iowa,Yes,31.0,28422.0
axne4congress,Yes,55.0,14656.0
rudy4congress,No,32.0,
robinlynnekelly,Yes,64.0,6574.0
marie4congress,No,56.0,42638.0
quigleycampaign,Yes,62.0,1271.0
votecasten,Yes,48.0,3895.0
dannykdavis7th,Yes,79.0,190.0
rajaforcongress,Yes,47.0,2991.0
schneider4il10,Yes,59.0,18881.0
foster4congress,Yes,65.0,2229.0
laurenunderwood,Yes,34.0,128719.0
daniforcongress,No,,2773.0
cheribustos,Yes,59.0,13129.0
chip4congress,No,,1098.0
joe4hoosiers,No,,689.0
haleindy,No,,9086.0
jeannineleelake,No,51.0,4147.0
andre4congress,Yes,46.0,2891.0
andyruffin9,No,,489.0
kaliforkansas,No,35.0,1140.0
michelle4kansas,No,44.0,4148.0
sharicedavids,Yes,40.0,135257.0
lauraforkansas,No,36.0,1210.0
rhodes4congress,No,,
hank4ky,No,,532.0
amowensby,No,42.0,12178.0
bestforky,No,,610.0
joshhicksky,No,44.0,7134.0
jakeauch,No,32.0,3254.0
sethmoulton,Yes,42.0,148620.0
williamkeating,Yes,68.0,3942.0
mia4md,No,24.0,33103.0
johnsarbanes,Yes,58.0,4144.0
anthonybrownmd4,Yes,58.0,8156.0
mfume4congress,Yes,72.0,3392.0
jamie_raskin,Yes,57.0,16363.0
pubtheologian,No,44.0,4799.0
hillaryscholten,No,30.0,11821.0
hilliardforcong,No,,495.0
jonhoadley,No,37.0,10827.0
elissaslotkin,Yes,44.0,48360.0
andy_levin,Yes,60.0,7598.0
electbizon2020,No,51.0,2952.0
haleylive,Yes,37.0,27732.0
debdingell,Yes,66.0,17175.0
rashidatlaib,Yes,44.0,1247007.0
angiecraigmn,Yes,48.0,20102.0
coribush,No,44.0,392928.0
jillschupp,No,,10547.0
lynzforcongress,No,32.0,31625.0
montsenyt,No,52.0,762.0
ellis4congress,No,64.0,4662.0
antonia4ms1,No,39.0,1499.0
williamsformt,No,59.0,7685.0
dwb4congress,No,46.0,2141.0
kathymanningnc,No,64.0,7076.0
timmonsgoodson,No,66.0,7104.0
parker4nc10,No,66.0,59.0
almaforcongress,Yes,74.0,4600.0
huffmanfornc,No,,46792.0
katejbolz,No,41.0,6486.0
karaforcongress,No,48.0,24375.0
markelworthjr,No,44.0,330.0
chrispappasnh,Yes,40.0,13748.0
amykennedy715,No,,13147.0
stephlschmid,No,40.0,2623.0
joshgottheimer,Yes,45.0,6524.0
malinowski,Yes,55.0,39510.0
albiosiresnj,Yes,69.0,537.0
mikiesherrill,Yes,48.0,42419.0
bonnie4congress,Yes,75.0,3633.0
xochforcongress,Yes,35.0,13159.0
teresafornm,No,60.0,4536.0
dinatitus,Yes,70.0,11099.0
packermannv,No,38.0,1233.0
susieleenv,Yes,53.0,7774.0
kathleenrice,Yes,55.0,6432.0
gregmeeksnyc,Yes,67.0,1153.0
grace4ny,Yes,45.0,22936.0
voteyvette,Yes,55.0,1729.0
carolynbmaloney,Yes,74.0,32590.0
aoc,Yes,31.0,10599110.0
ritchietorres,No,,59702.0
dana_balter,No,43.0,12475.0
higgins4wny,Yes,61.0,1042.0
kateforcongress,No,43.0,7146.0
joycebeatty,Yes,70.0,6244.0
shannonfreshour,No,,208716.0
nickrubando,No,32.0,2507.0
robertsohiod6,No,,2998.0
quentinforoh7,No,,
drvenoch,No,50.0,3866.0
marcy_kaptur,Yes,74.0,2672.0
timsdesiree,No,32.0,31729.0
mlfudge,Yes,68.0,7928.0
votealaina2020,No,41.0,19043.0
timryan,Yes,47.0,47882.0
hillarymueri,No,43.0,25607.0
newbyoh15,No,30.0,2724.0
danyell_lanier,No,,3113.0
electbrannon,No,68.0,978.0
spenser2020,No,,292.0
repblumenauer,Yes,72.0,71520.0
defazio4oregon,Yes,73.0,3313.0
voteschrader,Yes,69.0,502.0
dwightevanspa,Yes,66.0,3917.0
madeleinedean,Yes,61.0,14622.0
marygayscanlon,Yes,61.0,9367.0
joecunninghamsc,Yes,38.0,43671.0
adair4congress,No,40.0,
clevelandhosea,No,59.0,1535.0
kimforsc,No,36.0,7799.0
moebrownsc,No,32.0,5687.0
blairwalsingham,No,32.0,5540.0
rvhoyos,No,55.0,10104.0
meg4congress,No,,13871.0
coopforcongress,Yes,66.0,1933.0
kiran4congress,No,39.0,1194.0
pearsoncongress,No,,229.0
reelectcohen,Yes,71.0,1098.0
hank4texas,No,61.0,23511.0
simafortx,No,,65689.0
lulufortexas,No,34.0,26261.0
russellfostertx,No,45.0,13471.0
salterfortexas,No,61.0,2360.0
stephendaniel,No,43.0,3375.0
lizfortx8,No,37.0,33719.0
repalgreentx,Yes,73.0,1049.0
siegelfortexas,No,42.0,36429.0
jonmarkhogg,No,54.0,1610.0
welch_tx,No,53.0,20780.0
gusfortx,No,,1271.0
adrbell,No,,17736.0
vgescobar,Yes,51.0,34172.0
sjl4hrc,Yes,70.0,1074.0
tomwatsontx19,No,78.0,1131.0
castro4congress,Yes,46.0,55485.0
sripkulkarni,No,42.0,15783.0
ginaortizjones,No,29.0,42108.0
candacefor24,No,36.0,25385.0
julieolivertx,No,,40421.0
cuellarcampaign,Yes,65.0,968.0
lacongresista,Yes,70.0,19300.0
donnaimamtx,No,,24180.0
colinallredtx,Yes,37.0,25908.0
marcveasey,Yes,49.0,6507.0
lloyddoggetttx,Yes,74.0,3212.0
rlewis4congress,No,34.0,390.0
kaelweston,No,,3644.0
benmcadams,Yes,45.0,19031.0
qasimrashid,No,36.0,300623.0
voteforbetts,No,31.0,
welchforvt,Yes,73.0,2054.0
suzandelbene,Yes,58.0,4202.0
larsenrick,Yes,55.0,3285.0
electlong,No,53.0,8732.0
elect_davew,No,65.0,233.0
derekkilmer,Yes,46.0,1946.0
pramilajayapal,Yes,55.0,142361.0
drkimschrier,Yes,52.0,10465.0
bethdoglio,No,55.0,4600.0
stricklandforwa,No,58.0,3523.0
rogerforwi,No,38.0,1685.0
markpocan,Yes,56.0,21103.0
tomforwi,No,60.0,6588.0
triciaforwi,No,40.0,9635.0
amandastuck8,No,37.0,1406.0
natalieclinewv,No,39.0,
kunkel4congress,No,36.0,3022.0
hilaryturnerwv,No,33.0,3336.0
greybull4wy,No,43.0,1247.0
judyamabilehd13,No,,266.0
tonyexum,Yes,,1402.0
megforcolorado,No,,156.0
kennedy4co,Yes,,1923.0
lindseyforco,No,34.0,266.0
kyra4colorado,No,54.0,266.0
realhollyherson,No,35.0,265.0
yzokaie,No,,1162.0
repjeniarndt,Yes,56.0,2594.0
slavenemondhd54,No,,2.0
giugicarminati,No,,516.0
barbaraforco,Yes,53.0,1171.0
donaldvaldezco,Yes,39.0,580.0
angiehoover20,No,,768.0
johnforflorida,No,,614.0
abaysflh6,No,,209.0
khan4florida,No,,58.0
allisontantfl,No,,4000.0
rockforflorida,No,,88.0
rosshancockfl,No,66.0,235.0
duranforflorida,Yes,,2378.0
votejoshuahicks,No,,1385.0
esblimie,No,,118.0
angienixon,No,,3973.0
tammyettet,No,,309.0
benmarcus,No,,1493.0
daverpvb,No,,668.0
votedukes_fl32,No,56.0,203.0
gosaidushyant,No,,47.0
laufenberg2020,No,75.0,39.0
electgeraldine,Yes,71.0,649.0
annaforflorida,Yes,27.0,34867.0
joanforflorida,No,,607.0
algriffiths9,No,67.0,94.0
mrh_civics,No,50.0,894.0
clforfl58,No,,191.0
davidforfl,No,,276.0
davidjones4fl75,No,,328.0
williams_for_78,No,,409.0
ej4_fl,No,,858.0
dewmac52,Yes,66.0,1004.0
samforgeorgia,Yes,35.0,7248.0
mokahforgeorgia,No,38.0,3226.0
quentinthowell,No,42.0,419.0
kittrellvote,No,,20.0
evansprimus,No,,69.0
hughes4ga,No,43.0,98.0
pete_fuller_ga,No,,688.0
priscilla4ga,No,64.0,365.0
ryner_james,No,,4.0
erickallen,Yes,,1542.0
connie4georgia,No,44.0,603.0
tindallsara,No,,2413.0
carolinefor46,No,45.0,333.0
anthia_ga_hd47,No,,
jasonforga,No,43.0,245.0
voteboddie62,Yes,43.0,461.0
vote4_jackson,Yes,54.0,364.0
thomasfor65,No,,116.0
wilenskyforga,Yes,41.0,1472.0
rhondataylorga,No,,2443.0
mbcampbell4ga,No,,575.0
bjorn4four,No,35.0,48.0
pellant4house,No,48.0,
wesbreckenridge,Yes,52.0,794.0
dennisevans4ia,No,,118.0
repjacoby,Yes,64.0,318.0
kimmer3737,No,32.0,3985.0
kurth_monica,Yes,70.0,770.0
tateformichigan,Yes,39.0,806.0
richsteenland,No,50.0,31.0
mike_chehab,No,,131.0
cneeley34,Yes,,95.0
votekellybreen,No,43.0,2885.0
electkennedy20,Yes,31.0,188.0
feliciabrabec,No,,441.0
eastelect,No,,186.0
andreakellygar2,No,,51.0
electanitabrown,No,,211.0
repsabo92,Yes,,723.0
briankelder,Yes,44.0,929.0
thencrep,Yes,72.0,1814.0
samedney4wnc,No,70.0,
susanfisher114,Yes,65.0,2185.0
rayesmithjr,Yes,59.0,169.0
jdgailliard,Yes,,2111.0
repwray,Yes,,1572.0
zackhawkinsnc,Yes,41.0,2299.0
rep_rosa_gill,Yes,74.0,2411.0
juliefornc,Yes,,2742.0
jacksonfornc,Yes,49.0,5186.0
goncrichardson,Yes,65.0,1166.0
cynthiafornc,Yes,66.0,1722.0
electreives,Yes,50.0,1445.0
verlainsko,Yes,84.0,3608.0
brandongraync,No,,6585.0
amber_m_baker,No,,197.0
gayleharrisnc,No,,12.0
terrybrownclt,No,24.0,858.0
bostfornc,No,,526.0
joanieforohio,No,53.0,419.0
nancy4ohio,No,38.0,2329.0
ericaccrawley,Yes,39.0,2956.0
jessicaemiranda,Yes,34.0,2410.0
cingram32,Yes,70.0,995.0
forsobecki,Yes,49.0,788.0
michelleenovak,No,40.0,619.0
joemiller4ohio,Yes,,903.0
electtroy,No,,116.0
joefor84,No,,58.0
ryanbizzarro,Yes,34.0,3721.0
pattyhkim,Yes,47.0,3452.0
pattysmithforpa,No,,172.0
rodasforpa,No,26.0,3080.0
samdoctor4pa,No,,56.0
edp4rep,Yes,,24.0
piconeforpa,No,34.0,198.0
manny_guzman610,No,31.0,541.0
danielforpa,No,45.0,3062.0
taramzrinski,No,45.0,466.0
mariankeegan,No,65.0,38.0
ruggieripa13,No,,136.0
ciresiforpa,Yes,50.0,507.0
votewilson2020,No,28.0,76.0
napoleonfor154,No,35.0,137.0
melissaforpa,Yes,53.0,1336.0
friendsofantona,No,50.0,508.0
leanne4pa,Yes,,2891.0
repmargodavidso,Yes,54.0,1269.0
debciamacca,No,,662.0
robmatzie,Yes,52.0,2867.0
buckforpa,No,,409.0
maryisaacson,Yes,52.0,230.0
jasontdawkins,Yes,,574.0
briansimspa,Yes,42.0,106774.0
jordanharrispa,Yes,,91.0
voteblichar,No,25.0,202.0
rick4westphilly,No,,4032.0
adamforpa,No,56.0,182.0
morgan_cephas,Yes,36.0,563.0
burgosfor197,Yes,45.0,921.0
jakewheatleypa,Yes,45.0,8.0
rabb4thepeople,Yes,,1054.0
emily4pa20,No,,1113.0
paulfrielforpa,No,,147.0
lissaforpa,No,,1096.0
jessicalbenham,No,,4969.0
padora4pa,No,,227.0
nickforpa,No,,266.0
votedanmiller,Yes,46.0,614.0
byronstatereppa,No,45.0,151.0
steve_malagari,Yes,36.0,579.0
prahfor58,No,,
lizforpa,Yes,,929.0
dan4pa74,Yes,50.0,69.0
electjoewaltz,No,,113.0
conklinforpa,Yes,62.0,128.0
ianforpa,No,,137.0
waldman4the84th,No,35.0,60.0
votenicmiller,No,,720.0
danaforpa,No,48.0,224.0
troutmanforpa,No,,36.0
hodgeforhouse,No,,95.0
prince4txrep,No,,46.0
jasminefor100,No,39.0,2690.0
rafaelanchia,Yes,52.0,13783.0
carl_sherman_tx,Yes,54.0,935.0
brandyfortexas,No,47.0,4011.0
votelizcampos,No,,101.0
bryanjameshenry,No,,285.0
repallentx131,Yes,,1034.0
jon_rosenthaltx,Yes,57.0,2507.0
bucyfortexas,Yes,,4412.0
jarvisjohnsontx,Yes,46.0,669.0
repwalle,Yes,42.0,12374.0
repthierry146,Yes,,2707.0
gfcoleman,Yes,59.0,8720.0
michael_r_walsh,No,,54.0
repjoedeshotel,Yes,68.0,5272.0
brianjrogers,No,37.0,5578.0
ryanguillen,Yes,43.0,6364.0
andoconmando39,Yes,44.0,3117.0
rdbobbyguerra,Yes,,2711.0
kekefortexas,No,,2921.0
texansforsam,No,,466.0
moralesfortexas,No,45.0,93.0
repmarygonzalez,Yes,35.0,12084.0
moodyforelpaso,Yes,39.0,8394.0
repramonromero,Yes,49.0,4027.0
khforassembly,No,,
myers4assembly,Yes,36.0,133.0
jroccocal,No,44.0,476.0
katherinegaulke,No,39.0,511.0
tylerruprechtwi,No,,261.0
tip4wi,Yes,,543.0
electjacobwi,No,22.0,1938.0
kristinforwi,No,49.0,839.0
rosannagabaldon,No,64.0,1267.0
mendoza4az,No,29.0,2347.0
senquezada29,Yes,44.0,14922.0
sonyajlewis,No,,806.0
stevefenberg,Yes,36.0,3426.0
coleman4co,No,,231.0
butler4flsen,No,50.0,
randolphbracy,Yes,43.0,1275.0
victorres_fl,Yes,,1100.0
darrylrouson,Yes,66.0,4712.0
tonyforflorida,No,,200.0
corinnarobinson,No,,220.0
shevrinjones,No,,17452.0
electjavier,No,45.0,3220.0
senatorjen,Yes,,13373.0
christineforga,No,53.0,3839.0
valenciaseay,Yes,67.0,1840.0
votevarley,No,,3170.0
norrisforiowa,No,34.0,106.0
sarahforiowa,No,39.0,1534.0
cynthiapash,No,,1383.0
ikejohnsonnc,No,,294.0
harper4nc,Yes,,2229.0
jay_chaudhuri,Yes,51.0,4500.0
kdeviere,Yes,51.0,3878.0
nataliefornc,Yes,,1737.0
fousheefornc,Yes,64.0,421.0
janeledwellgant,No,,
gladysarobinson,Yes,,391.0
legrandwsnc,No,,1585.0
mmohammednc,Yes,,2727.0
davidbwheeler,No,55.0,1125.0
streetforpa,Yes,46.0,852.0
gscott4pa,No,,2199.0
amandaforpa,No,32.0,1063.0
margie4pasenate,No,,383.0
senatepa,No,39.0,296.0
sternerforpa,No,65.0,22.0
_shaundougherty,No,,5664.0
pamforpa,Yes,,4700.0
2020tay,No,66.0,133.0
tony_deloreto,No,,88.0
jaycostapa,Yes,62.0,94.0
brewster4senate,Yes,,125.0
julieslomski,No,43.0,804.0
txchuy,Yes,,7477.0
menendez4texas,Yes,51.0,10633.0
cesarjblanco,No,,7825.0
vocke4wi,No,,
melissa4senate,No,51.0,252.0
wojoforwi,No,,413.0
keldahelenroys,No,,8799.0
alysegalvin,No,53.0,5367.0
brynnespeak,No,36.0,6777.0
bubser4congress,No,,1525.0
eshoo4congress,Yes,77.0,664.0
adamschiff,Yes,60.0,507013.0
angelica4ca,No,,15912.0
tedlieu,Yes,51.0,1499739.0
norma4congress,Yes,55.0,1894.0
lindatsanchez,Yes,51.0,931.0
liamomaraiv,No,46.0,8590.0
nanette4ca,Yes,44.0,3673.0
repdmb,No,63.0,8839.0
ike4co,No,,2849.0
johnlarsonct,Yes,72.0,3014.0
kristythripp,No,,68.0
allawsonjr,Yes,72.0,1439.0
alangrayson,No,,68529.0
clint4congress,No,62.0,289.0
sufiyahyasmine,No,,6.0
danaforcongress,No,50.0,
alcee4congress,Yes,84.0,558.0
teddeutch,Yes,,11902.0
fswinthehouse,Yes,77.0,100.0
reelecthank,Yes,,1686.0
lizforga12th,No,,
edcasehawaii,Yes,,2099.0
kaikahele,No,,90306.0
ritahartia,No,64.0,4508.0
jdscholten,No,40.0,130868.0
bobbyrushfor1st,Yes,73.0,464.0
chuyforcongress,Yes,,18394.0
janschakowsky,Yes,76.0,49042.0
lenzi4congress,No,,411.0
betsyforil,No,,8521.0
weaver4illinois,No,34.0,364.0
mrvan4congress,No,50.0,564.0
hackettcongress,No,,2666.0
hope_in8,No,28.0,654.0
nealforcongress,Yes,71.0,891.0
mcgovernma,Yes,60.0,6737.0
katherineclark,Yes,57.0,11595.0
ayannapressley,Yes,46.0,858599.0
replynch,Yes,65.0,4705.0
godutchformd,Yes,74.0,242.0
stenyhoyer,Yes,81.0,6974.0
davidjtrone,Yes,65.0,8813.0
golden4congress,Yes,38.0,7639.0
fergusonformi1,No,38.0,1946.0
dankildee,Yes,,5436.0
gdriskell,No,62.0,5567.0
danielfeehan,No,,11117.0
deanbphillips,Yes,,14744.0
votebetty,Yes,,1225.0
ilhanmn,Yes,,2649100.0
tawnja4congress,No,,607.0
quinnnystrom,No,,4094.0
vote4cleaver,Yes,76.0,1096.0
drgenalross,No,37.0,428.0
deborahrossnc,No,57.0,8245.0
wardcongress,No,,178.0
wallacecongress,No,49.0,2809.0
moenc11,No,,2163.0
zachfornd,No,,668.0
annmclanekuster,Yes,,5885.0
donnorcross4nj,Yes,61.0,2704.0
andykimnj,Yes,,20657.0
pallonefornj,Yes,69.0,3670.0
pascrellfornj,Yes,83.0,11191.0
deb4congressnm,Yes,60.0,102395.0
stevenhorsford,Yes,47.0,11199.0
ngoroff,No,,7777.0
votejackie4ny,No,,8911.0
tom_suozzi,Yes,,5421.0
reelectnydia,Yes,,4725.0
hakeem_jeffries,Yes,,18330.0
jerrynadler,Yes,,22172.0
maxrose4ny,Yes,,33354.0
jamaalbowmanny,No,,238962.0
mondairejones,No,,83100.0
spmaloney,Yes,,6464.0
delgadoforny19,Yes,,28912.0
paultonko,Yes,,2782.0
tedracobb,No,,264723.0
abrindisiny,Yes,,13360.0
mitranoforny23,No,,11948.0
votemorelle,Yes,,1662.0
nate_mcmurray,No,,19040.0
jaimecastleoh,No,43.0,2561.0
godfreyforoh16,No,34.0,2509.0
kojoforcongress,No,34.0,
zoecongress2020,No,,20197.0
hornforcongress,Yes,44.0,10925.0
finelloforpa,No,,26367.0
repbrendanboyle,Yes,43.0,40403.0
houlahanforpa,Yes,,20614.0
wildforcongress,Yes,,6751.0
cartwrightpa,Yes,,2174.0
drgarywegman,No,,4609.0
depasqualepa,No,49.0,12822.0
sarahforus,No,27.0,1199.0
toddrowleypa13,No,,7748.0
billforpa14,No,44.0,1983.0
williamsfor15,No,54.0,
kristy4congress,No,35.0,31280.0
conorlambpa,Yes,36.0,98615.0
rep_doyle,Yes,,174.0
langevinforri,Yes,,1170.0
clyburnsc06,Yes,,14640.0
melissawatsonf1,No,43.0,2456.0
chrisjollyhale,No,,40684.0
lizzie4congress,Yes,,16176.0
rickkennedytx17,No,58.0,5073.0
wendydavis,No,57.0,212149.0
caroltx26,No,,
ricky4congress,No,30.0,3088.0
filemonvela,Yes,57.0,1217.0
devindthorpe,No,55.0,41396.0
elaineluriava,Yes,45.0,37184.0
bobbyscott4va3,Yes,,3272.0
donald_mceachin,Yes,59.0,7494.0
drcameronwebb,No,37.0,24981.0
spanbergerva07,Yes,41.0,55493.0
donbeyerva,Yes,70.0,6454.0
jenniferwexton,Yes,52.0,26264.0
electconnolly,Yes,,3105.0
vote4mckinley,No,,347.0
electadamsmith,Yes,55.0,928.0
kindforcongress,Yes,,4401.0
gwen4congress,Yes,69.0,3615.0
jessicaking6th,No,44.0,1237.0
